LGA Name,Tenure type,Very low income <$603 per wk,Low income $603-$964 per wk,Moderate income $965-$1446 per wk,Total
Prospect (C),Total households,1302,910,1024,7758
Renmark Paringa (DC),Being purchased (incl rent/buy),124,163,191,1151
Renmark Paringa (DC),Rented: Public,86,21,17,147
Renmark Paringa (DC),Rented: Private and not stated,187,159,146,702
Renmark Paringa (DC),Rented: Other landlord,52,25,24,162
Renmark Paringa (DC),Rented: TOTAL,325,205,187,1011
Renmark Paringa (DC),Other tenure types,415,333,195,1465
Renmark Paringa (DC),Total households,869,702,577,3627
Robe (DC),Being purchased (incl rent/buy),15,18,16,137
Robe (DC),Rented: Public,9,3,0,7
Robe (DC),Rented: Private and not stated,31,23,15,104
Robe (DC),Rented: Other landlord,0,4,3,13
Robe (DC),Rented: TOTAL,40,30,18,124
Robe (DC),Other tenure types,86,49,49,289
Robe (DC),Total households,140,96,86,548
Roxby Downs (M),Being purchased (incl rent/buy),7,5,16,261
Roxby Downs (M),Rented: Public,0,0,7,23
Roxby Downs (M),Rented: Private and not stated,31,26,44,418
Roxby Downs (M),Rented: Other landlord,0,3,8,353
Roxby Downs (M),Rented: TOTAL,31,29,59,794
Roxby Downs (M),Other tenure types,4,7,7,127
Roxby Downs (M),Total households,40,39,77,1177
Salisbury (C),Being purchased (incl rent/buy),1725,2491,3746,20325
Salisbury (C),Rented: Public,1671,540,289,3031
Salisbury (C),Rented: Private and not stated,2343,1970,2052,9954
Salisbury (C),Rented: Other landlord,443,202,168,1114
Salisbury (C),Rented: TOTAL,4457,2712,2509,14099
Salisbury (C),Other tenure types,4315,3556,2210,15080
Salisbury (C),Total households,10491,8758,8468,49501
Southern Mallee (DC),Being purchased (incl rent/buy),29,26,29,193
Southern Mallee (DC),Rented: Public,5,3,3,18
Southern Mallee (DC),Rented: Private and not stated,10,16,21,71
Southern Mallee (DC),Rented: Other landlord,12,3,5,50
Southern Mallee (DC),Rented: TOTAL,27,22,29,139
Southern Mallee (DC),Other tenure types,117,79,57,430
Southern Mallee (DC),Total households,172,122,120,764
Streaky Bay (DC),Being purchased (incl rent/buy),15,22,27,195
Streaky Bay (DC),Rented: Public,10,6,0,32
Streaky Bay (DC),Rented: Private and not stated,27,27,16,102
Streaky Bay (DC),Rented: Other landlord,5,3,0,19
Streaky Bay (DC),Rented: TOTAL,42,36,16,153
Streaky Bay (DC),Other tenure types,127,78,61,433
Streaky Bay (DC),Total households,182,141,106,780
Tatiara (DC),Being purchased (incl rent/buy),84,129,124,825
Tatiara (DC),Rented: Public,15,7,3,40
Tatiara (DC),Rented: Private and not stated,64,89,68,371
Tatiara (DC),Rented: Other landlord,23,17,8,75
Tatiara (DC),Rented: TOTAL,102,113,79,486
Tatiara (DC),Other tenure types,272,227,163,1121
Tatiara (DC),Total households,458,466,376,2427
Tea Tree Gully (C),Being purchased (incl rent/buy),835,1233,2169,15900
Tea Tree Gully (C),Rented: Public,659,211,93,1154
Tea Tree Gully (C),Rented: Private and not stated,895,997,1035,5071
Tea Tree Gully (C),Rented: Other landlord,146,57,45,354
Tea Tree Gully (C),Rented: TOTAL,1700,1265,1173,6579
Tea Tree Gully (C),Other tenure types,3414,3039,2313,14079
Tea Tree Gully (C),Total households,5955,5536,5655,36559
The Coorong (DC),Being purchased (incl rent/buy),110,84,105,598
The Coorong (DC),Rented: Public,27,13,3,54
The Coorong (DC),Rented: Private and not stated,103,66,44,294
The Coorong (DC),Rented: Other landlord,16,15,16,76
The Coorong (DC),Rented: TOTAL,146,94,63,424
The Coorong (DC),Other tenure types,334,213,157,1085
The Coorong (DC),Total households,593,391,335,2107
Tumby Bay (DC),Being purchased (incl rent/buy),36,29,36,255
Tumby Bay (DC),Rented: Public,4,0,3,9
Tumby Bay (DC),Rented: Private and not stated,57,34,25,172
Tumby Bay (DC),Rented: Other landlord,16,10,6,38
Tumby Bay (DC),Rented: TOTAL,77,44,34,219
Tumby Bay (DC),Other tenure types,182,107,87,609
Tumby Bay (DC),Total households,294,179,148,1077
Unley (C),Being purchased (incl rent/buy),205,217,363,4489
Unley (C),Rented: Public,233,54,19,339
Unley (C),Rented: Private and not stated,650,531,656,3856
Unley (C),Rented: Other landlord,143,20,21,212
Unley (C),Rented: TOTAL,1026,605,696,4407
Unley (C),Other tenure types,1255,892,751,5843
Unley (C),Total households,2485,1715,1810,14738
Victor Harbor (C),Being purchased (incl rent/buy),199,233,265,1498
Victor Harbor (C),Rented: Public,40,7,8,62
Victor Harbor (C),Rented: Private and not stated,431,279,226,1237
Victor Harbor (C),Rented: Other landlord,73,24,22,132
Victor Harbor (C),Rented: TOTAL,544,310,256,1431
Victor Harbor (C),Other tenure types,1081,986,489,3348
Victor Harbor (C),Total households,1814,1535,1011,6283
Wakefield (DC),Being purchased (incl rent/buy),140,134,161,885
Wakefield (DC),Rented: Public,15,0,3,30
Wakefield (DC),Rented: Private and not stated,118,72,71,393
Wakefield (DC),Rented: Other landlord,34,9,18,91
Wakefield (DC),Rented: TOTAL,167,81,92,514
Wakefield (DC),Other tenure types,348,218,195,1197
Wakefield (DC),Total households,652,442,447,2590
Walkerville (M),Being purchased (incl rent/buy),38,31,47,780
Walkerville (M),Rented: Public,130,15,4,177
Walkerville (M),Rented: Private and not stated,101,64,101,590
Walkerville (M),Rented: Other landlord,15,10,0,37
Walkerville (M),Rented: TOTAL,246,89,105,804
Walkerville (M),Other tenure types,242,191,154,1356
Walkerville (M),Total households,534,306,317,2938
Wattle Range (DC),Being purchased (incl rent/buy),174,183,240,1504
Wattle Range (DC),Rented: Public,91,19,7,148
Wattle Range (DC),Rented: Private and not stated,249,139,111,676
Wattle Range (DC),Rented: Other landlord,24,22,12,107
Wattle Range (DC),Rented: TOTAL,364,180,130,931
Wattle Range (DC),Other tenure types,600,444,264,2071
Wattle Range (DC),Total households,1148,809,626,4511
West Torrens (C),Being purchased (incl rent/buy),402,513,912,6755
West Torrens (C),Rented: Public,709,167,76,1119
West Torrens (C),Rented: Private and not stated,1307,1125,1247,6560
West Torrens (C),Rented: Other landlord,285,108,70,598
